ep,delta_required,success,status,message
5,0.19638160164831178,True,0,Optimization terminated successfully
5,0.19660253309912096,True,0,Optimization terminated successfully
5,0.19689052400793972,True,0,Optimization terminated successfully
5,0.19696329433111986,True,0,Optimization terminated successfully
5,0.19696301933678312,True,0,Optimization terminated successfully
5,0.19649107281818928,True,0,Optimization terminated successfully
5,0.19640446333615913,True,0,Optimization terminated successfully
5,0.19616565781276044,True,0,Optimization terminated successfully
5,0.19639451451240003,True,0,Optimization terminated successfully
5,0.19634582388072724,True,0,Optimization terminated successfully
5,0.19586279011430718,True,0,Optimization terminated successfully
5,0.19484026518269598,True,0,Optimization terminated successfully
5,0.19398907711363247,True,0,Optimization terminated successfully
5,0.1934659111498295,True,0,Optimization terminated successfully
5,0.19311525809677035,True,0,Optimization terminated successfully
5,0.19354017139708712,True,0,Optimization terminated successfully
5,0.19363337006220016,True,0,Optimization terminated successfully
5,0.1940302311015284,True,0,Optimization terminated successfully
5,0.19483773816122643,True,0,Optimization terminated successfully
5,0.19572133174415707,True,0,Optimization terminated successfully
5,0.19538420675125118,True,0,Optimization terminated successfully
5,0.19605085602606367,True,0,Optimization terminated successfully
5,0.1972656841764332,True,0,Optimization terminated successfully
5,0.1980511767812688,True,0,Optimization terminated successfully
5,0.19871702794379448,True,0,Optimization terminated successfully
5,0.2004018580904357,True,0,Optimization terminated successfully
5,0.2015164043628932,True,0,Optimization terminated successfully
5,0.20187168662762206,True,0,Optimization terminated successfully
5,0.20119709903854052,True,0,Optimization terminated successfully
5,0.20014891933227594,True,0,Optimization terminated successfully
5,0.19960007837684873,True,0,Optimization terminated successfully
5,0.19936504275270542,True,0,Optimization terminated successfully
5,0.19901164316348077,True,0,Optimization terminated successfully
5,0.19955744346096915,True,0,Optimization terminated successfully
5,0.19943813829072268,True,0,Optimization terminated successfully
5,0.19946278279555965,True,0,Optimization terminated successfully
5,0.19938078300457093,True,0,Optimization terminated successfully
5,0.19880943867015874,True,0,Optimization terminated successfully
5,0.19807983947076457,True,0,Optimization terminated successfully
5,0.19763347867150277,True,0,Optimization terminated successfully
5,0.19753919185475047,True,0,Optimization terminated successfully
5,0.19804339367768928,True,0,Optimization terminated successfully
5,0.19810459148575818,True,0,Optimization terminated successfully
5,0.19757108504266285,True,0,Optimization terminated successfully
5,0.19819558172223548,True,0,Optimization terminated successfully
5,0.1986543257875408,True,0,Optimization terminated successfully
5,0.19916390602146222,True,0,Optimization terminated successfully
5,0.199655779809675,True,0,Optimization terminated successfully
5,0.19952581811990017,True,0,Optimization terminated successfully
5,0.1994689637240964,True,0,Optimization terminated successfully
5,0.19946001050702383,True,0,Optimization terminated successfully
5,0.19923869935442157,True,0,Optimization terminated successfully
5,0.19917527269546492,True,0,Optimization terminated successfully
5,0.19946353366863787,True,0,Optimization terminated successfully
5,0.1994404937576685,True,0,Optimization terminated successfully
5,0.1997706777284552,True,0,Optimization terminated successfully
5,0.19988026846610907,True,0,Optimization terminated successfully
5,0.19980773748509,True,0,Optimization terminated successfully
5,0.19961794009597694,True,0,Optimization terminated successfully
5,0.19927869885379942,True,0,Optimization terminated successfully
5,0.19899364508054573,True,0,Optimization terminated successfully
5,0.1982732825493036,True,0,Optimization terminated successfully
5,0.19802910418121486,True,0,Optimization terminated successfully
5,0.19742621042982111,True,0,Optimization terminated successfully
5,0.19723120027382451,True,0,Optimization terminated successfully
5,0.1975791857677371,True,0,Optimization terminated successfully
5,0.19731532043974576,True,0,Optimization terminated successfully
5,0.19788217851237377,True,0,Optimization terminated successfully
5,0.197844784437308,True,0,Optimization terminated successfully
5,0.1974090404432199,True,0,Optimization terminated successfully
5,0.19657759796057095,True,0,Optimization terminated successfully
5,0.19604535952382363,True,0,Optimization terminated successfully
5,0.19587463843373892,True,0,Optimization terminated successfully
5,0.19573994979927023,True,0,Optimization terminated successfully
5,0.1953129246194012,True,0,Optimization terminated successfully
5,0.19559996132346325,True,0,Optimization terminated successfully
5,0.19586511546352864,True,0,Optimization terminated successfully
5,0.1962954650483264,True,0,Optimization terminated successfully
5,0.19580895634362583,True,0,Optimization terminated successfully
5,0.19500072213721786,True,0,Optimization terminated successfully
5,0.1948555548456879,True,0,Optimization terminated successfully
5,0.19496500522893007,True,0,Optimization terminated successfully
5,0.1944888879586314,True,0,Optimization terminated successfully
5,0.19418986734414898,True,0,Optimization terminated successfully
5,0.19482847184616328,True,0,Optimization terminated successfully
5,0.194826207505092,True,0,Optimization terminated successfully
5,0.19475379689382114,True,0,Optimization terminated successfully
5,0.19502162363041697,True,0,Optimization terminated successfully
5,0.19579969278686776,True,0,Optimization terminated successfully
5,0.19651367345836643,True,0,Optimization terminated successfully
5,0.19719423604403835,True,0,Optimization terminated successfully
5,0.19769076719365689,True,0,Optimization terminated successfully
5,0.19830706826338712,True,0,Optimization terminated successfully
5,0.19846127774825847,True,0,Optimization terminated successfully
5,0.1980583926763822,True,0,Optimization terminated successfully
5,0.19754973812317994,True,0,Optimization terminated successfully
5,0.19677995084833105,True,0,Optimization terminated successfully
5,0.19670705414774242,True,0,Optimization terminated successfully
5,0.19719175221375088,True,0,Optimization terminated successfully
5,0.19758817652494054,True,0,Optimization terminated successfully
5,0.19816844104924597,True,0,Optimization terminated successfully
5,0.19820281143805404,True,0,Optimization terminated successfully
5,0.19892669881072414,True,0,Optimization terminated successfully
5,0.19831503670658585,True,0,Optimization terminated successfully
5,0.19797202027462169,True,0,Optimization terminated successfully
5,0.1980348448549485,True,0,Optimization terminated successfully
5,0.19760957249295674,True,0,Optimization terminated successfully
5,0.19799918021256233,True,0,Optimization terminated successfully
5,0.19858512852733107,True,0,Optimization terminated successfully
5,0.19914864604215268,True,0,Optimization terminated successfully
5,0.19895128194852926,True,0,Optimization terminated successfully
5,0.19885314903573068,True,0,Optimization terminated successfully
5,0.19983039328132024,True,0,Optimization terminated successfully
5,0.2002074384564934,True,0,Optimization terminated successfully
5,0.20082369077614176,True,0,Optimization terminated successfully
5,0.20122612076568633,True,0,Optimization terminated successfully
5,0.20099030498625717,True,0,Optimization terminated successfully
5,0.20081261867589412,True,0,Optimization terminated successfully
5,0.20100283375724667,True,0,Optimization terminated successfully
5,0.20153115052937745,True,0,Optimization terminated successfully
5,0.2013560034489416,True,0,Optimization terminated successfully
5,0.20085482930394719,True,0,Optimization terminated successfully
5,0.2012465032988254,True,0,Optimization terminated successfully
5,0.20078333157600953,True,0,Optimization terminated successfully
5,0.2000708538375374,True,0,Optimization terminated successfully
5,0.19959980336372926,True,0,Optimization terminated successfully
5,0.19927379262583786,True,0,Optimization terminated successfully
5,0.1990399850277129,True,0,Optimization terminated successfully
5,0.19934080571949414,True,0,Optimization terminated successfully
